,Day,o3_AQI,f0_,f1_,f2_,f3_,f4_,f5_,f6_,Location,DayLoc
92,1990-04-03,,165.23260273972602,11.019178082191786,23.608219178082173,98.38356164383552,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-03 Illinois DuPage
93,1990-04-04,,157.8900269541779,13.5822102425876,23.5067385444744,97.96495956873322,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-04 Illinois DuPage
94,1990-04-05,,156.9566037735848,12.82479784366576,23.749326145552544,98.9703504043126,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-05 Illinois DuPage
95,1990-04-06,,173.22964959568728,13.501347708894874,23.55525606469004,98.1644204851752,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-06 Illinois DuPage
96,1990-04-07,,167.3197297297297,11.154054054054056,23.59729729729729,98.3324324324324,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-07 Illinois DuPage
97,1990-04-08,,147.7796195652174,12.614130434782613,23.711956521739143,98.8125,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-08 Illinois DuPage
98,1990-04-09,,142.91108108108116,12.705405405405408,23.61891891891892,98.43243243243238,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-09 Illinois DuPage
99,1990-04-10,,170.26486486486476,12.462162162162167,23.40000000000001,97.52432432432434,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-10 Illinois DuPage
100,1990-04-11,,166.01743869209818,11.746594005449602,23.158038147138967,96.51498637602188,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-11 Illinois DuPage
101,1990-04-12,,158.2455284552845,12.2981029810298,23.260162601626025,96.93495934959356,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-12 Illinois DuPage
102,1990-04-13,,138.7983827493262,11.061994609164422,23.407008086253374,97.54716981132074,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-13 Illinois DuPage
103,1990-04-14,,158.58347107438024,10.669421487603303,23.62534435261708,98.45179063360884,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-14 Illinois DuPage
104,1990-04-15,,147.94930362116995,11.314763231197766,23.81337047353759,99.2367688022284,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-15 Illinois DuPage
105,1990-04-16,,155.0953296703297,12.763736263736256,23.239010989011,96.8406593406593,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-16 Illinois DuPage
106,1990-04-17,,160.96519337016576,11.941988950276242,23.55801104972375,98.171270718232,Illinois,DuPage,Lisle,Illinois DuPage,1990-04-17 Illinois DuPage
